商品ｺｰﾄﾞ,商品名,商品名索引,単位,上代単価
100082,VH-20溶剤用.容器付,VH-20,台,0
100083,VH-20溶剤用(110V.60HZ),VH-20,台,0
100084,VH-20溶剤用(ﾄﾞﾚﾝﾎｰｽ仕様.5L容器付),VH-20,台,0
100085,VHｰ20水用.容器付(110V),VH-20,台,66000
100086,VHｰ20(110V)水用.ﾀﾝｸﾅｼ,VH-20,台,0
100087,VHｰ20溶剤用.ﾄﾞﾚﾚﾝﾎｰｽ仕様,VH-20,台,0
100088,VH-20溶剤用.230V,VH-20,台,0
100089,VH-20水用.ﾀﾝｸﾅｼ,VH-20,台,0
100090,VH-20.L　溶剤用　5L容器付,VH-20,台,65000
100091,VH-20 溶剤用(200V),VH-20,台,0
100092,VH-20 溶剤用　透明ﾊﾞｲﾄﾝ仕様,VH-20,台,0
100093,VH-20(240V)　溶剤用,VH-20,台,0
100094,VH-20.溶剤用(ｽﾄｯﾌﾟﾊﾞﾙﾌﾞﾅｼ),VH-20,台,0
100095,VHｰ20溶剤用.ﾊﾞｲﾄﾝ仕様(220V),VH-20,台,0
100096,VH-20水用.容器付(220V),VH-20,台,0
100097,VHｰ20 溶剤用(220V),VH-20,台,0
100098,VH-20溶剤用･透明ﾊﾞｲﾄﾝ仕様･220V,VHｰ20,台,0
100099,W-10,W10,台,55000
100100,牛若ｶﾞﾝ(ﾊﾞﾗﾝｻ-ﾅｼ),ｳｼﾜｶｶﾞ,台,0
100101,缶ｷｬｯﾌﾟ(ｼﾞｮｲﾝﾄ付),ｶﾝｷｬｯﾌ,個,800
100102,ｸﾘｰﾆﾝｸﾞｶﾞﾝ　ｺｽﾓｽﾊﾟｰ100,ｺｽﾓ,台,0
100103,ｸﾘｰﾆﾝｸﾞｶﾞﾝ　ｺｽﾓｽﾊﾟｰ24,ｺｽﾓ,台,0
100104,ｸﾘ-ﾆﾝｸﾞｶﾞﾝ  ｺﾙﾄ5(大),ｺﾙﾄ5,台,0
100105,他社ｽﾌﾟﾚｰｶﾞﾝ,ｽﾌﾟﾚ,台,0
100107,ｾﾌﾃｨｽﾎﾟｯﾄｶﾞﾝ　SS-1,ｽﾎﾟｯﾄ,台,20000
100108,LSV-30,LSV-30,台,0
100110,ECORZA(溶剤用),ECO,台,0
100111,ECORZA(溶剤用･110V),ECO,台,0
100112,ECORZA(水用)容器付,ECO,台,0
100113,ECORZA(水用)　ﾀﾝｸﾅｼ,ECO,台,0
100114,ECORZA(溶剤用.220V),ECO,台,0
100115,ECORZA(200V),ECORZA,台,0
100116,ECORZA(溶剤用)容器付,ECO,台,0
100117,ECORZA TWIN,ECORZA,台,0
100118,LSV-20(200V),LSV,台,64000
100119,ECORZA(溶剤用)広角ﾉｽﾞﾙ仕様,ECO,台,72500
100120,ﾀﾞｲﾔｽﾌﾟﾚｰｶﾞﾝ S-B型(ｾﾗﾐｯｸﾎﾟﾝﾌﾟ･直ﾉｽﾞﾙ,ﾀﾞｲﾔ,台,0
100121,ECORZA(水用)広角ﾉｽﾞﾙ仕様 容器付,ECO,台,0
100122,RCｴｱｰｶﾞﾝ・ﾚｷﾞｭﾚｰﾀｰｾｯﾄ,ｴｱｰｶﾞﾝ,台,0
110001,ﾎﾞﾄﾙﾎﾙﾀﾞｰ(ｺﾙﾄ用),ﾎﾞﾄﾙ,ｾｯﾄ,0
110002,RS用ﾍﾞｱﾘﾝｸﾞ,ﾍﾞｱﾘﾝｸ,個,0
110003,EXﾊﾝﾄﾞﾙｾｯﾄ,ﾊﾝﾄﾞﾙ,ｾｯﾄ,0
110004,ｵｰﾘﾝｸﾞ(2.8X1.9)ｽﾄｯﾌﾟﾊﾞﾙﾌﾞ用,ｵｰﾘﾝｸﾞ,個,0
110005,EX-B型ｻｸｼｮﾝﾎｰｽ一式(ﾃﾌﾛﾝ仕様),ｻｸｼｮﾝ,式,0
